packet sequence:	174	184	129	201	0	0	0	0	0	0	0	0	0

	0	-1	0	0	3

	1	-1	0	0	0

	0	-1	0	0	1

	0	-2	0	0	3

	-1	-2	0	0	1

	-1	-3	0	0	3

	-2	-3	0	0	1

	-1	-3	0	0	0

	0	-3	0	0	0

	0	-4	0	0	3

	1	-4	0	0	0

	0	-4	0	0	1

	-1	-4	0	0	1

	-1	-5	0	0	3

	-1	-6	0	0	3

	-1	-5	0	0	2

	-2	-5	0	0	1

	-3	-5	0	0	1

	-3	-4	0	0	2

	-4	-4	0	0	1

	-4	-3	0	0	2

	-4	-2	0	0	2

	-4	-3	0	0	3

	-4	-2	0	0	2

	-4	-3	0	0	3

	-3	-3	0	0	0

	-3	-2	0	0	2

	-3	-3	0	0	3

	-4	-3	0	0	1

	-4	-2	0	0	2

	-5	-2	0	0	1

	-4	-2	0	0	0

	-4	-1	0	0	2

	-5	-1	0	0	1

	-4	-1	0	0	0

	-4	0	0	0	2

	-4	1	0	0	2

	-4	2	0	0	2

	-5	2	0	0	1

	-5	3	0	0	2

	-4	3	0	0	0

	-4	4	0	0	2

	-4	5	0	0	2

	-3	5	0	0	0

	-4	5	0	0	1

	-4	6	0	0	2

	-4	5	0	0	3

	-4	4	0	0	3

	-4	5	0	0	2

	-5	5	0	0	1

	-4	5	0	0	0

	-3	5	0	0	0

	-3	6	0	0	2

	-3	7	0	0	2

	-3	8	0	0	2

	-3	7	0	0	3

	-2	7	0	0	0

	-2	8	0	0	2

	-1	8	0	0	0

	-1	7	0	0	3

	-2	7	0	0	1

	-3	7	0	0	1

	-3	6	0	0	3

	-3	7	0	0	2

	-3	6	0	0	3

	-3	5	0	0	3

	-2	5	0	0	0

	-2	6	0	0	2

	-3	6	0	0	1

	-2	6	0	0	0

	-3	6	0	0	1

	-3	7	0	0	2

	-2	7	0	0	0

